category_name,category_url,is_current_category
Books,https://books.toscrape.com/catalogue/category/books_1/index.html,false
Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,false
Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,false
Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,false
Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,false
Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,false
Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,false
Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,false
Womens Fiction,https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,false
Fiction,https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,false
Childrens,https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,false
Religion,https://books.toscrape.com/catalogue/category/books/religion_12/index.html,false
Nonfiction,https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html,false
Music,https://books.toscrape.com/catalogue/category/books/music_14/index.html,false
Default,https://books.toscrape.com/catalogue/category/books/default_15/index.html,false
Science Fiction,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html,false
Sports and Games,https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html,false
Fantasy,https://books.toscrape.com/catalogue/category/books/fantasy_19/index.html,false
New Adult,https://books.toscrape.com/catalogue/category/books/new-adult_20/index.html,false
Young Adult,https://books.toscrape.com/catalogue/category/books/young-adult_21/index.html,false
Science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,false
Poetry,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html,false
Paranormal,https://books.toscrape.com/catalogue/category/books/paranormal_24/index.html,false
Art,https://books.toscrape.com/catalogue/category/books/art_25/index.html,false
Psychology,https://books.toscrape.com/catalogue/category/books/psychology_26/index.html,false
Autobiography,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,false
Parenting,https://books.toscrape.com/catalogue/category/books/parenting_28/index.html,false
Adult Fiction,https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html,false
Humor,https://books.toscrape.com/catalogue/category/books/humor_30/index.html,false
Horror,https://books.toscrape.com/catalogue/category/books/horror_31/index.html,false
History,https://books.toscrape.com/catalogue/category/books/history_32/index.html,false
Food and Drink,https://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html,false
Christian Fiction,https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html,false
Business,https://books.toscrape.com/catalogue/category/books/business_35/index.html,false
Biography,https://books.toscrape.com/catalogue/category/books/biography_36/index.html,false
Thriller,https://books.toscrape.com/catalogue/category/books/thriller_37/index.html,false
Contemporary,https://books.toscrape.com/catalogue/category/books/contemporary_38/index.html,false
Spirituality,https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html,false
Academic,https://books.toscrape.com/catalogue/category/books/academic_40/index.html,false
Self Help,https://books.toscrape.com/catalogue/category/books/self-help_41/index.html,false
Historical,https://books.toscrape.com/catalogue/category/books/historical_42/index.html,false
Christian,https://books.toscrape.com/catalogue/category/books/christian_43/index.html,false
Suspense,https://books.toscrape.com/catalogue/category/books/suspense_44/index.html,false
Short Stories,https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html,false
Novels,https://books.toscrape.com/catalogue/category/books/novels_46/index.html,false
Health,https://books.toscrape.com/catalogue/category/books/health_47/index.html,false
Politics,https://books.toscrape.com/catalogue/category/books/politics_48/index.html,false
Cultural,https://books.toscrape.com/catalogue/category/books/cultural_49/index.html,false
Erotica,https://books.toscrape.com/catalogue/category/books/erotica_50/index.html,false
Crime,https://books.toscrape.com/catalogue/category/books/crime_51/index.html,false
